,coordinates,favorite_count,geo,lang,place,source,trump_tweet_id,user_created_at,user_description,user_favourites_count,user_followers_count,user_friends_count,user_lang,user_location,user_name,user_statuses_count
64,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Sun Feb 12 02:40:17 +0000 2012,"Conservative mom. Child of the Reagan Revolution. 

Used to be Never Trumper but have become Trump's biggest fan! #MAGA 🇺🇸

I will block/mute Lib trolls.",36693,2867,3796,en,🇺🇸🇺🇸🇺🇸 USA,"Calm Down, Carry On",25459
65,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Sun Sep 24 15:08:29 +0000 2017,,312,12,12,en,,Jeffrey John Barrett,326
66,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Mon Feb 27 02:07:44 +0000 2012,"Tired of liberals trying to change all that is America, Believer & Follower of Jesus Christ, Disabled Veteran 🇺🇸. #MAGA",52665,944,691,en,United States,Realist GP,23552
67,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Tue May 17 19:35:56 +0000 2011,#Pray4USA #Jesus #veterans #MAGA #Trump #proudpatriot #draintheswamp #Army #Armedforces  #christian #dogs #horses #conservative #TrumpARMY #backtheblue,12586,894,1726,en,,Justiceandglory,7663
68,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",928325667556548608,Sun Apr 26 17:39:04 +0000 2009,Trump 100%........USN..67-73.....Buffalo Bills........   Harley-Davidson.......Super Deplorable...muscle cars.......tattoo's.....classic rock....,1572,2176,2835,en,"Angola on the Lake, NY",Edward Woods,6714
69,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Mon Jan 07 20:20:49 +0000 2013,Official Maine Twitter page of SBA Small Businesses of America. Supporting independent small businesses in Maine.,1088,304,482,en,"Bar Harbor, ME",SmBizMAINE,1297
70,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Wed Apr 13 19:11:05 +0000 2011,"American, born & bred; concerned about how today's choices influence the future.",3471,381,742,en,,I. Ryan,3831
71,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Tue Jan 17 04:21:57 +0000 2012,,244,182,377,en,,George Soreus,10810
72,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Mon Aug 15 14:57:59 +0000 2016,"Political Junkie. Independent. HUGE Trump fan, love my country! 🇺🇸❤️ I block trolls and ill-mannered liberals, just for fun 😉 https://t.co/QjQlf3VXqZ",26897,7032,7735,en,USA,Les Deplorable Kat,48725
73,,0,,en,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",928325667556548608,Fri Nov 11 00:22:47 +0000 2011,,1387,23,65,en,"Lexington, NC",Alyce Hopping,212
