,id_str,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
209,924249943719727104,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.0
210,930259298407419904,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464
211,922951009277825024,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.0,0.0
212,930089374187950081,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.0,0.06060606060606061
213,933319309551685633,0.0,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.047619047619047616
214,923662988833427458,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555
215,925913030159937537,0.0,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666
216,931123400810037248,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0
217,925688931823300609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,928926863375794176,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.0,0.0,0.041666666666666664
219,928931835664465921,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.17391304347826086,0.0,0.0,0.13043478260869565
220,927672843504177152,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.13043478260869565,0.0,0.0,0.043478260869565216
221,921871707564101632,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.0,0.03571428571428571
222,928097817037627393,0.047619047619047616,0.0,0.047619047619047616,0.09523809523809523,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616
223,926185468911382529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,924649059520073730,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.0,0.0
225,925860866767163393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,923925428372492288,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385
227,933921775984967681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,926783758530781184,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.06896551724137931,0.0,0.0,0.0
229,923320000185847808,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693
230,923876612013248512,0.0,0.07142857142857142,0.0,0.0,0.03571428571428571,0.0,0.10714285714285714,0.0,0.03571428571428571,0.03571428571428571
231,923905540291522560,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571
232,921891186352287744,0.037037037037037035,0.037037037037037035,0.0,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.0,0.07407407407407407
233,925534445393928199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,926053970535243777,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
235,922067676708638721,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705
236,930050967067820032,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464
237,926259330474704900,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
238,930747213659197441,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.07692307692307693,0.0,0.038461538461538464,0.038461538461538464
239,923150966551171073,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.0,0.0
240,925925920304779264,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,929492038231429120,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.07407407407407407,0.0,0.0,0.037037037037037035
242,923866849451888640,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
243,932388590344196096,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
244,924966722544848896,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
245,923149793974775810,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0
246,933917415028772864,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.07692307692307693,0.0,0.0,0.0
247,933918671503753216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,925907651350941696,0.037037037037037035,0.07407407407407407,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.0,0.037037037037037035,0.14814814814814814
249,925424931390873602,0.0,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.2,0.0,0.06666666666666667,0.13333333333333333
250,926793510723796993,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125
251,930742717721739264,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.04
252,933105158275325952,0.0,0.043478260869565216,0.0,0.0,0.08695652173913043,0.0,0.08695652173913043,0.0,0.043478260869565216,0.08695652173913043
253,923871062072295427,0.05,0.1,0.0,0.0,0.15,0.0,0.15,0.0,0.15,0.1
254,930836707095863296,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333
